Name,Latitude,Longitude
PL0081A,"51,1305540000","23,5147230000"
PL0495A,"50,0245090000","22,0105770000"
PL0490A,"51,1038000000","17,0570440000"
PL0141A,"52,1607730000","21,0338190000"
PL0085A,"51,2730560000","22,5516660000"
PL0091A,"50,7166670000","23,2902770000"
PL0249A,"53,4321690000","14,5539000000"
PL0115A,"51,8566670000","19,4211100000"
PL0496A,"53,1291660000","23,1813890000"
PL0213A,"51,9398000000","15,5189000000"
PL0494A,"50,6768560000","17,9502780000"
PL0071A,"53,0286100000","18,6661110000"
PL0075A,"52,6647220000","19,0369440000"
PL0148A,"53,1299970000","23,1561110000"
PL0491A,"53,1513890000","18,1319440000"
PL0248A,"53,3809750000","14,6633470000"
PL0497A,"54,3984720000","18,6139440000"
PL0500A,"54,2070500000","16,1931010000"
PL0175A,"53,7877800000","20,4819400000"
PL0052A,"54,3802760000","18,6200010000"
PL0295A,"54,1680560000","19,4108330000"
PL0492A,"52,7470520000","15,2462950000"
PT05007,"37,0149990000","-7,9266750000"
PT03071,"38,7700000000","-9,1072280000"
PT03072,"38,7486110000","-9,1489030000"
PT03083,"38,6636120000","-9,1577830000"
RO0084A,"47,1511120000","27,5836140000"
RO0074A,"46,7750020000","23,5966780000"
RO0176A,"44,9392010000","26,0259020000"
RO0099A,"44,8581710000","24,8771500000"
RO0119A,"45,6497500000","25,6035860000"
RO0194A,"45,7554930000","21,2274530000"
RO0142A,"45,4315380000","28,0547410000"
SE0058A,"55,5838890000","13,0080610000"
SE0001A,"55,6063880000","13,0019640000"
SE0067A,"57,6986120000","11,9608410000"
SE0004A,"57,7086110000","11,9700020000"
SE0087A,"59,3254970000","18,0044000000"
SE0071A,"59,4422230000","17,9233380000"
SE0070A,"59,8594440000","17,6422310000"
SE0022A,"59,3169440000","18,0575050000"
SE0084A,"59,3461110000","18,0908340000"
SE0104A,"59,8600000000","17,6355000000"
SE0083A,"63,8247220000","20,2855550000"
SI0002A,"46,5594400000","15,6566700000"
